"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
"1",0,65,67,0,0,0,0,0,51,39,67,0,0,39,37,0,53,0,0,31,36,69,23,40,0,15,0,37,51,25,46,0,28,44,27,22,21,49,50,57,0,0,0,0,11,13,19,21,0,70,65,0,0,50,41,55,0,28,47,0,12,0,0,0,21,0,0,0,58,27,0,56,0,43,50,30,50,0,69,40,44,51,11,65,0,53,55,42,0,0,0,22,47,0,0,54,0,0,51,25,57,12,48,49,0,0,0,13,14,34,0,0,61,41,50,0,0,0,0,38,0,62,40,33,45,44,35,0,0,0,60,30,0,0,57,64,0,64,0,50,20,35,50,0,12,13,49,11,0,41,55,0,0,0,0,28,22,67,55,0,41,40,0,16,15,0,0,63,0,49,0,0,40,0,11,11,18,0,50,62,10,46,0,10,0,40,54,55,56,0,30,0,0,16,0,0,0,0,13,53,49,50,67,34,0,61,38,0,39,0,0,0,67,24,39,26,44,0,44,22,60,0,0,41,0,0,0,30,43,62,0,0,0,13,17,55,0,32,0,0,0,39,0,47,35,0,20,66,52,22,14,24,0,0,0,13,0,27,67,0,0,28,0,35,32,0,64,55,0,0,61,0,54,31,0,0,0,0,44,0,14,0,21,56,37,0,55,50,0,41,28,47,56,19,0,57,0,0,36,0,53,0,35,24,27,51,53,0,20,0,0,0,69,33,16,25,10,0,69,35,23,35,14,0,0,0,0,59,0,0,45,0,0,54,50,20,43,56,63,44,24,0,27,0,65,40,13,65,19,64,52,59,0,38,27,66,0,31,0,0,0,0,0,46,0,14,0,40,63,0,50,17,41,0,46,52,0,0,62,35,41,54,40,0,0,19,0,51,0,0,0,13,25,42,0,0,0,47,0,49,29,37,12,25,0,0,54,56,0,0,45,0,19,22,0,41,38,56,0,61,0,0,59,28,20,59,28,37,17,31,0,0,45,0,51,68,0,49,0,0,0,0,0,24,0,25,0,0,59,48,0,52,0,31,54,38,0,0,35,0,0,15,0,39,38,0,41,0,0,15,0,57,25,30,45,26,34,48,0,0,63,0,19,0,0,16,0,44,53,65,60,66,19,12,0,0,0,67,16,0
"2",13,49,0,54,26,41,43,37,48,13,32,0,0,0,54,57,0,0,0,38,0,46,0,49,0,67,0,32,55,60,0,0,54,0,48,38,44,51,30,42,38,0,0,0,0,0,24,0,0,13,0,29,65,44,30,0,0,61,61,70,58,65,0,61,0,0,0,0,58,0,61,0,0,42,46,0,28,0,59,23,0,50,0,0,13,70,0,49,12,69,14,41,55,0,28,0,0,52,34,0,50,50,0,64,40,61,41,0,0,0,60,0,22,33,0,26,50,0,0,37,68,0,41,24,0,34,28,68,0,29,0,0,62,0,45,63,21,0,22,0,68,34,21,59,0,0,19,0,66,20,0,59,17,0,27,26,38,10,0,11,0,44,24,61,42,34,24,49,35,38,59,0,37,57,60,0,48,0,0,34,47,56,0,0,27,0,41,66,0,0,0,24,0,63,0,65,29,50,49,0,0,0,46,0,49,0,41,36,0,0,0,0,42,0,14,0,14,17,28,56,0,40,63,29,0,0,13,21,0,15,39,0,0,22,0,0,16,0,0,13,25,0,0,10,12,58,0,21,0,0,64,0,28,0,67,46,0,68,62,0,0,60,51,66,0,70,0,0,10,0,0,0,56,0,0,50,51,0,35,60,30,0,57,44,0,0,69,0,65,62,29,0,57,0,24,0,63,0,0,50,0,0,0,0,70,0,70,0,0,13,0,0,49,0,12,37,0,22,61,0,45,0,45,31,0,66,18,0,0,54,0,0,54,0,48,50,38,48,40,40,36,0,47,0,54,54,54,0,0,0,41,43,0,52,0,51,37,30,0,17,0,55,13,54,0,46,68,0,0,15,52,63,60,69,45,23,0,0,0,0,0,48,11,40,31,64,0,0,0,0,19,0,48,0,16,0,21,0,47,0,0,45,57,0,0,0,16,40,0,0,55,37,0,23,68,0,56,0,0,0,0,0,43,0,0,0,17,0,24,0,61,0,0,20,61,57,45,51,48,64,40,0,0,47,21,0,18,0,0,0,0,32,0,0,0,0,0,0,0,0,40,38,60,29,47,69,0,41,64,0,56,51,18,12,37,24,0,0,0,65,15,39,41,20,35,0,0,0,63,0,62,32,63,0,0,0,40,12,0,55
"3",46,0,49,0,0,0,37,36,42,0,44,0,68,0,23,42,38,42,0,63,0,26,51,58,58,13,18,0,27,0,29,0,18,59,24,0,28,0,37,0,38,45,0,0,67,24,0,29,68,0,0,20,37,53,0,0,0,57,63,0,42,22,11,20,38,0,0,70,21,0,0,66,0,49,52,52,30,0,46,0,63,0,0,0,62,29,30,33,32,30,0,69,0,42,20,0,0,25,36,62,55,34,56,32,59,17,0,0,66,0,51,0,0,53,64,16,69,25,56,62,0,0,0,0,0,52,64,0,0,58,40,0,61,42,0,11,58,0,13,34,32,0,0,0,63,66,54,0,62,0,0,43,0,41,0,34,29,0,19,0,58,33,27,44,0,34,66,65,41,14,64,38,63,46,0,0,30,0,0,0,0,26,0,28,55,42,46,32,0,0,0,0,57,51,40,14,0,0,53,38,0,36,0,20,11,12,59,53,13,0,65,14,33,38,0,43,55,63,0,22,35,67,0,36,42,0,43,49,35,0,12,0,0,58,0,39,18,0,15,0,0,62,30,0,0,0,44,35,25,42,49,40,31,16,0,0,46,0,15,0,26,18,56,21,19,0,0,0,0,57,48,52,40,34,0,0,0,0,36,0,29,20,0,0,53,13,0,39,0,0,66,0,0,60,0,27,0,39,0,0,0,0,57,0,46,0,22,15,0,29,20,0,41,0,27,25,68,30,0,16,0,0,0,0,40,12,16,0,0,0,0,0,0,0,46,34,56,35,16,38,0,0,0,0,53,30,25,0,22,0,59,0,22,0,0,54,46,69,0,31,33,62,0,66,57,68,0,21,40,0,39,61,40,0,11,0,36,41,0,27,0,59,0,63,25,0,44,27,60,0,0,0,0,0,26,0,21,47,17,0,26,23,0,0,24,0,52,0,43,66,23,0,18,45,63,58,47,37,29,0,0,0,11,28,55,15,68,17,29,48,0,0,34,29,0,0,0,18,60,32,42,51,65,30,60,55,52,25,0,32,60,0,0,0,44,12,0,43,0,19,41,33,57,57,0,26,48,40,18,0,29,40,20,53,0,0,0,0,56,0,44,41,28,0,0,64,36,38,36,66,30,0,57,0,0,37,0,51,14,0
"4",0,69,0,0,0,61,20,62,15,29,30,0,0,49,32,48,0,0,29,0,21,19,63,31,29,0,43,0,68,0,58,0,0,50,23,0,44,41,12,21,54,48,38,0,36,19,13,0,0,0,0,56,20,22,26,65,40,29,0,43,0,37,60,0,57,39,14,43,0,39,36,0,20,0,59,0,0,39,50,0,0,52,0,12,70,21,0,0,47,24,17,0,0,55,0,50,59,0,0,36,0,59,60,62,0,0,45,13,0,52,63,51,63,0,0,64,0,41,0,14,16,0,0,0,39,59,67,36,63,47,35,0,62,28,57,21,0,15,0,0,35,0,29,39,0,48,0,0,58,0,15,0,0,11,44,0,22,63,44,55,0,18,64,51,0,0,43,0,56,43,64,67,54,60,66,0,0,17,0,61,26,41,31,0,0,0,0,12,37,0,0,40,28,0,0,54,0,0,53,0,42,0,0,67,0,62,0,69,21,36,0,0,16,0,47,0,24,0,57,0,0,22,20,52,28,33,0,0,12,0,69,29,59,41,0,0,13,39,0,55,0,0,19,0,16,60,68,14,0,61,40,0,65,36,0,24,37,45,67,19,0,38,43,26,14,0,56,55,0,0,0,44,16,0,0,53,39,16,50,0,0,22,0,0,0,41,12,35,47,0,0,0,48,34,27,70,0,66,40,64,15,0,0,0,0,0,44,40,0,14,68,11,0,0,0,39,48,0,15,0,12,26,59,32,50,0,0,59,26,41,56,46,0,0,0,0,52,0,0,20,65,0,14,0,0,23,44,0,0,15,52,0,61,0,68,49,59,0,33,20,55,0,0,0,61,0,45,23,0,0,0,0,61,41,45,37,0,55,46,0,0,0,0,0,13,15,43,0,42,0,0,54,0,59,15,37,59,57,48,0,66,51,0,0,0,0,58,0,0,0,59,43,42,0,0,20,0,51,59,0,21,58,17,18,43,23,54,33,0,43,0,47,39,65,24,66,0,0,49,0,0,65,55,0,39,37,0,20,57,17,42,0,28,0,37,27,16,59,47,55,0,0,66,65,30,30,20,68,0,27,0,0,57,0,0,0,45,42,64,0,33,26,21,61,33,0,0,51,0,27,69,0,61,0,0,19,0,0,0,12
"5",35,43,21,67,30,0,0,0,60,0,0,0,38,37,40,0,0,50,61,0,41,0,12,0,0,46,0,64,0,63,0,0,66,0,44,52,0,21,0,0,55,0,0,35,60,0,0,56,0,40,0,57,67,0,18,11,0,36,16,0,0,0,46,42,21,0,0,0,0,0,0,37,58,0,0,0,48,0,28,68,0,0,37,15,0,0,0,0,21,11,0,0,17,67,0,41,0,27,34,0,0,49,61,0,0,22,0,55,0,64,0,24,0,29,18,39,53,41,27,0,0,0,30,43,0,0,0,0,0,56,0,0,31,33,50,64,31,67,13,0,55,36,44,24,16,18,0,0,45,0,0,35,56,21,53,0,0,13,59,0,0,24,0,63,0,0,37,16,0,27,34,31,15,63,0,44,13,25,59,57,0,0,0,0,0,29,66,0,0,0,0,61,33,0,0,0,0,53,0,0,26,25,0,61,44,54,0,60,19,59,0,0,0,69,55,0,0,0,33,36,14,36,61,0,11,42,59,26,29,0,54,58,0,32,65,0,27,60,49,65,0,0,32,0,14,0,0,58,62,0,12,0,22,55,29,15,64,61,25,0,67,0,23,60,66,0,38,64,49,0,60,0,0,48,65,46,0,0,64,0,0,39,0,13,0,0,0,0,39,45,51,0,11,0,28,49,0,64,0,51,43,0,62,21,42,30,0,0,12,48,0,0,46,64,47,0,33,53,0,69,0,19,57,0,0,60,0,68,69,35,34,22,25,0,61,53,0,23,0,54,18,0,43,64,24,0,31,40,51,49,70,44,30,23,25,0,30,0,29,0,0,0,20,36,67,15,36,68,22,32,27,15,42,57,0,21,13,36,46,25,19,19,0,0,0,15,0,66,69,0,64,0,21,0,36,0,0,0,21,44,52,0,61,0,13,0,18,57,24,30,62,58,50,41,0,53,28,52,35,58,0,54,0,0,29,49,66,59,0,45,25,0,61,0,0,27,0,0,51,15,58,0,35,40,0,0,0,21,0,0,0,62,57,0,65,68,62,0,17,13,18,20,0,54,63,0,27,0,0,36,0,34,66,0,34,0,0,67,0,0,39,0,10,0,38,68,29,23,30,43,64,30,0,27,0,57,0,0,0,14
"6",35,31,0,58,0,58,29,65,65,0,29,0,28,0,26,26,0,34,34,68,0,49,29,0,0,12,0,51,16,28,0,0,41,16,45,19,64,55,0,65,0,15,13,0,48,0,0,0,19,34,0,57,26,34,0,0,0,61,0,21,0,0,33,54,16,34,69,64,25,57,22,0,0,33,0,18,63,68,63,0,0,47,0,26,25,39,0,0,0,0,22,42,34,32,0,50,0,0,0,34,26,53,0,28,53,0,59,39,25,50,0,31,0,19,13,53,19,41,0,17,0,28,0,55,49,0,36,20,0,0,55,15,67,23,0,0,0,56,60,0,26,40,0,37,0,61,46,46,0,68,0,0,0,53,0,0,25,0,0,39,0,15,0,60,0,0,0,37,53,20,15,30,64,23,65,39,52,0,56,0,51,0,0,0,0,0,0,56,0,0,15,24,0,0,0,0,0,0,54,45,0,0,13,0,44,46,0,0,51,66,18,48,33,46,19,0,0,0,48,48,0,0,29,0,50,0,27,0,45,32,18,56,39,41,0,0,60,0,13,28,0,31,0,65,59,0,38,64,38,29,0,55,30,24,58,0,0,0,54,58,60,48,33,46,63,0,0,0,0,37,0,67,17,0,54,0,0,22,65,22,65,0,68,14,62,61,13,48,29,0,42,47,18,0,56,0,0,0,59,54,28,0,43,34,0,0,26,56,42,68,0,0,0,41,29,32,26,0,25,0,11,58,11,68,0,20,48,12,0,25,18,0,0,40,59,55,13,0,21,41,66,0,38,0,42,42,34,0,0,63,0,41,15,37,0,40,64,0,39,0,0,0,28,21,0,65,28,10,0,0,46,0,31,62,13,66,38,11,57,0,15,31,29,47,43,0,0,12,0,0,28,37,13,0,0,0,49,28,0,45,0,0,0,0,16,0,30,0,24,0,0,0,43,0,30,66,0,21,59,0,0,0,60,48,0,60,41,0,66,0,0,50,0,0,55,28,0,21,46,0,0,0,62,60,23,0,0,0,60,23,22,16,0,37,58,61,0,35,46,43,15,24,0,35,0,0,0,0,21,0,0,20,0,0,0,0,0,68,38,41,50,0,63,34,0,58,34,11,0,43,0,0,48,23,38,0,0,0,0,0
"7",0,0,0,52,0,18,26,0,69,14,27,0,0,0,59,25,32,0,66,32,48,0,56,0,64,37,18,30,45,24,24,30,0,0,69,27,41,0,68,44,0,0,24,18,36,26,43,35,18,32,0,0,0,0,45,0,0,0,0,47,0,0,34,65,0,0,37,35,27,64,0,39,53,0,0,53,39,29,26,0,65,0,26,59,62,0,0,0,12,51,44,0,0,55,67,14,0,26,19,47,0,22,0,0,21,63,42,0,0,0,0,69,0,0,47,55,0,66,50,0,0,32,24,31,0,0,0,0,0,14,53,27,0,45,0,14,11,65,17,0,40,13,0,66,19,56,0,42,15,0,0,0,0,32,0,38,0,0,49,56,49,0,24,0,0,25,64,39,58,64,0,29,53,63,16,31,0,0,0,34,65,44,57,0,0,53,40,28,12,0,0,70,70,47,0,0,30,35,0,0,0,20,10,27,29,0,33,15,42,36,10,23,63,0,36,37,53,48,69,0,18,37,27,0,0,55,30,0,64,51,0,0,53,0,40,0,0,38,48,0,0,52,0,10,0,50,0,50,39,56,0,48,0,25,0,29,53,0,46,64,0,22,11,20,35,48,0,46,54,0,56,47,0,16,0,41,61,59,0,0,47,0,36,50,0,0,27,0,0,40,18,33,43,54,0,31,15,36,0,0,43,0,31,27,0,20,0,68,23,38,0,60,0,0,0,62,51,0,24,0,53,28,42,0,12,0,0,29,63,13,65,11,30,17,0,53,34,0,0,0,0,56,27,0,0,0,0,29,0,0,0,25,63,18,39,44,0,63,0,0,15,65,24,20,65,0,54,35,39,22,30,34,0,55,37,56,11,21,50,49,0,40,0,0,0,0,25,53,37,0,0,0,0,0,0,24,0,0,0,47,54,0,0,25,65,61,0,49,50,46,0,49,0,18,46,54,48,33,47,0,53,59,32,0,0,0,0,13,33,22,0,70,23,0,0,38,69,64,60,54,59,0,0,0,39,11,58,34,28,0,0,43,0,0,0,32,0,36,0,37,49,0,0,27,41,0,0,0,32,0,0,49,0,22,0,0,14,15,0,68,0,39,0,0,0,63,0,65,0,57,50,67,0,0,20,0,31,0,0,0
"8",0,41,57,57,14,53,32,59,34,30,51,29,46,33,26,28,28,24,21,35,52,17,0,40,22,34,22,54,25,54,40,15,0,20,0,34,0,0,0,50,0,40,0,52,0,11,0,0,47,0,0,47,0,41,35,15,0,64,61,18,15,0,0,0,60,0,40,0,21,53,0,0,0,0,0,30,25,19,0,43,39,0,31,0,0,34,47,31,13,54,27,0,61,53,59,67,23,0,0,0,36,0,20,58,20,0,0,28,0,18,68,46,48,0,0,51,46,0,44,0,66,0,0,24,21,14,45,44,61,0,14,36,42,62,37,31,65,29,0,0,63,27,67,55,0,53,0,0,36,0,0,0,0,27,47,0,0,0,0,43,43,0,0,12,18,43,0,23,0,32,0,63,0,49,13,15,0,38,0,18,0,0,60,0,0,0,55,67,0,0,34,0,67,57,22,57,0,70,0,33,24,0,58,55,28,45,11,0,29,0,68,0,0,0,0,0,11,55,12,16,0,32,51,0,0,53,0,50,18,15,0,0,51,25,0,0,63,24,0,0,0,0,0,0,0,0,0,30,48,11,51,0,29,46,0,0,12,60,0,62,61,0,38,0,16,28,35,27,23,0,0,53,38,0,30,0,0,53,0,0,16,49,0,0,48,63,0,39,29,54,0,0,55,0,0,24,0,35,20,35,0,62,38,0,34,62,62,36,0,67,0,31,24,0,54,21,0,0,0,39,60,45,56,52,11,50,36,0,11,61,44,0,0,0,56,46,25,0,22,14,66,52,0,69,0,48,0,0,38,54,22,47,60,0,0,0,23,41,0,67,0,0,60,0,22,38,0,0,0,10,13,70,0,15,37,62,44,45,28,0,58,0,11,38,29,0,0,0,0,43,0,28,12,47,0,22,49,0,35,70,0,66,13,60,0,65,35,37,0,34,0,58,54,70,47,0,25,0,0,60,39,14,16,12,13,57,30,43,0,14,32,0,0,0,0,0,64,0,65,25,67,0,23,24,37,0,0,31,43,22,0,0,31,58,21,49,53,65,0,15,50,29,22,56,20,0,0,65,55,0,0,0,0,15,0,0,0,56,57,64,24,0,0,0,64,23,43,0,0,0,52,0,50,30,47,0,0,57,16,0
"9",0,36,0,0,45,0,16,0,19,39,59,51,38,10,44,0,30,0,41,20,0,0,61,0,46,0,41,54,49,31,0,40,0,70,35,0,0,0,0,59,34,0,47,22,0,19,0,52,43,0,16,67,0,0,0,26,0,0,49,18,65,31,46,64,69,0,0,0,43,0,32,0,18,46,15,68,0,35,36,22,32,0,15,41,0,27,0,30,70,38,47,0,0,44,34,0,55,28,27,47,0,69,55,39,0,50,48,10,53,66,19,0,0,65,14,0,0,65,0,28,44,14,0,0,47,36,12,0,0,0,0,0,24,15,0,0,66,37,52,61,0,51,22,50,48,45,42,35,57,40,29,10,68,15,21,0,36,0,0,70,17,0,27,0,21,56,59,0,0,0,0,58,0,51,36,0,0,0,63,0,30,50,24,0,42,0,0,0,0,0,38,17,31,0,16,31,35,0,60,49,0,0,24,25,58,0,0,17,40,0,0,55,10,12,0,0,18,39,0,10,58,66,55,23,0,27,0,59,38,13,0,29,0,0,63,35,59,45,0,0,64,0,0,0,21,69,13,18,24,26,49,60,0,0,0,0,0,68,23,0,0,35,0,0,69,59,0,37,44,62,48,0,0,11,12,20,39,0,0,66,66,45,12,33,0,24,0,35,62,0,0,0,15,22,0,0,14,0,0,19,61,49,42,0,19,0,0,33,0,49,0,53,0,29,0,0,37,0,0,0,58,0,0,0,0,0,28,25,0,0,0,0,61,63,0,12,17,18,68,45,58,69,21,0,18,0,51,0,12,54,54,0,0,0,45,38,39,0,23,50,0,22,59,61,0,55,67,66,0,56,0,69,0,0,38,39,0,55,39,0,11,47,0,55,0,47,15,67,32,0,24,0,20,25,19,0,31,63,49,0,0,21,0,0,56,55,44,47,30,62,25,22,41,39,34,65,55,12,59,52,47,49,69,36,68,68,68,0,68,63,0,25,21,50,17,57,26,63,0,0,24,0,65,54,0,65,39,54,0,29,0,32,0,21,45,58,39,27,20,15,0,0,19,64,59,0,47,0,67,64,0,0,0,68,22,31,56,0,43,28,29,43,31,17,35,52,0,0,69,0,0,49,37,0,0,14,0,42,0,0
"10",57,62,34,30,0,69,0,0,67,0,69,0,14,0,0,45,66,0,0,20,45,70,28,0,44,0,0,68,0,0,19,29,35,59,0,37,41,0,64,30,0,60,0,59,26,27,35,60,68,18,56,53,0,0,44,10,0,31,0,41,0,0,0,69,0,57,56,23,17,0,26,36,57,36,0,0,46,0,25,0,0,0,67,0,24,50,68,29,53,0,0,56,63,0,0,45,42,20,0,27,39,0,0,40,35,49,57,51,0,33,30,46,0,0,0,0,0,13,34,0,0,0,67,58,0,27,0,0,69,0,20,0,0,0,49,14,51,61,51,0,0,39,13,0,18,0,43,33,69,44,0,42,55,54,44,23,0,0,0,0,0,56,28,34,26,0,41,0,43,38,58,0,16,16,38,17,0,66,0,0,61,68,21,51,43,60,17,0,0,51,27,52,38,0,0,55,0,33,0,0,12,22,39,56,0,0,0,70,53,44,50,28,49,29,0,0,25,10,44,54,61,0,55,67,36,63,53,0,48,62,0,51,57,0,26,47,56,0,0,17,0,40,0,11,0,58,22,14,42,0,0,21,0,43,43,0,59,67,11,59,17,45,57,11,0,54,28,0,51,68,14,27,59,0,0,0,62,0,12,0,0,30,21,63,0,22,33,54,0,45,0,57,58,0,0,52,51,41,0,0,23,48,27,19,0,48,64,58,39,20,24,10,10,38,24,0,29,0,16,0,43,55,60,63,62,0,33,0,18,59,0,42,0,0,0,66,41,17,0,65,0,40,50,0,28,0,25,35,58,61,46,0,0,48,0,0,0,39,30,58,0,61,37,0,10,29,48,15,0,0,24,0,0,0,0,50,59,48,32,42,0,67,0,55,0,34,0,67,0,0,0,42,33,67,0,54,0,17,58,0,23,68,0,61,60,0,11,0,67,47,32,33,0,0,48,0,18,23,69,16,19,0,51,21,0,0,58,18,39,37,47,46,44,49,23,63,0,11,59,55,59,22,38,0,0,22,60,67,0,0,0,0,44,39,0,34,52,0,64,65,0,0,0,67,34,54,0,0,32,40,58,0,0,42,32,0,49,61,43,33,0,0,29,35,0,0,66,0,50,29,35,0,30,30,0,27,25,0,19,58
