"host_percentage","model_optimization","run_time"
10,"spatial-index",1.66100951433182
10,"spatial-index",1.66657733519872
10,"spatial-index",1.66401886542638
10,"spatial-index",1.66368498404821
10,"spatial-index",1.66503204902013
10,"spatial-index",1.66583069960276
10,"spatial-index",1.65911386410395
10,"spatial-index",1.66509928305944
10,"spatial-index",1.73645781675975
10,"spatial-index",1.66046024958293
20,"spatial-index",1.81388456821442
20,"spatial-index",1.67046768267949
20,"spatial-index",1.69142880042394
20,"spatial-index",1.67095046838125
20,"spatial-index",1.67065050204595
20,"spatial-index",1.67763133049011
20,"spatial-index",1.67357620000839
20,"spatial-index",1.66981854836146
20,"spatial-index",1.67071686983109
20,"spatial-index",1.67076756954193
30,"spatial-index",2.04278481801351
30,"spatial-index",1.70008906920751
30,"spatial-index",1.7053409854571
30,"spatial-index",1.7055072148641
30,"spatial-index",1.71172388394674
30,"spatial-index",1.7029744664828
30,"spatial-index",1.70150173505147
30,"spatial-index",1.69915705124537
30,"spatial-index",1.70846626361211
30,"spatial-index",1.70431305170059
40,"spatial-index",1.70832025210063
40,"spatial-index",1.71451631387075
40,"spatial-index",1.72535726626714
40,"spatial-index",1.72252431710561
40,"spatial-index",1.71504900058111
40,"spatial-index",1.71521066427231
40,"spatial-index",1.71588806708654
40,"spatial-index",1.73257938226064
40,"spatial-index",1.69352216720581
40,"spatial-index",1.69302406708399
50,"spatial-index",1.72842928171158
50,"spatial-index",1.74126233259837
50,"spatial-index",1.75420879920324
50,"spatial-index",1.74338976542155
50,"spatial-index",1.74035618305206
50,"spatial-index",1.7430228471756
50,"spatial-index",1.74968911806742
50,"spatial-index",1.73625836372375
50,"spatial-index",1.73805473248164
50,"spatial-index",1.7347790201505
60,"spatial-index",1.91360078255335
60,"spatial-index",1.78298345009486
60,"spatial-index",1.79119481643041
60,"spatial-index",1.79681364695231
60,"spatial-index",1.79049666722616
60,"spatial-index",1.80445934931437
60,"spatial-index",1.78752078215281
60,"spatial-index",1.80003781716029
60,"spatial-index",1.79792678356171
60,"spatial-index",1.78826934893926
70,"spatial-index",1.86385053396225
70,"spatial-index",1.88412969907125
70,"spatial-index",1.88271684646606
70,"spatial-index",1.87701536814372
70,"spatial-index",1.89352168242137
70,"spatial-index",1.87026631832123
70,"spatial-index",1.87202870051066
70,"spatial-index",1.87766364812851
70,"spatial-index",1.88102133274078
70,"spatial-index",1.87507056792577
80,"spatial-index",2.1287921667099
80,"spatial-index",2.02008286714554
80,"spatial-index",1.97020046710968
80,"spatial-index",1.98279933532079
80,"spatial-index",1.98557535012563
80,"spatial-index",1.972991502285
80,"spatial-index",1.97839436531067
80,"spatial-index",2.14983603556951
80,"spatial-index",2.00946128368378
80,"spatial-index",2.01441471576691
90,"spatial-index",2.12844321727753
90,"spatial-index",2.19258836507797
90,"spatial-index",2.15923026402791
90,"spatial-index",2.15470628341039
90,"spatial-index",2.1685360511144
90,"spatial-index",2.14847304821014
90,"spatial-index",2.19180751641591
90,"spatial-index",2.14514771699905
90,"spatial-index",2.15774893363317
90,"spatial-index",2.18161741892497
100,"spatial-index",2.41816869974136
100,"spatial-index",2.34282006820043
100,"spatial-index",2.29907101392746
100,"spatial-index",2.33987741867701
100,"spatial-index",2.30982496738434
100,"spatial-index",2.30746546586355
100,"spatial-index",2.34395107030869
100,"spatial-index",2.34498128096263
100,"spatial-index",2.3344918847084
100,"spatial-index",2.29858833551407
